InvoiceId,Date,TotalSalesAmount,CustomerId
1,01/01/2020,20.25,1
2,01/01/2020,10.5,2
3,01/01/2020,1.25,3
4,01/01/2020,17,4
5,01/01/2020,10.95,5
6,01/01/2020,10,6
7,01/01/2020,6.25,7
8,01/01/2020,15.399999999999999,8
9,01/01/2020,15.399999999999999,9
10,01/01/2020,33.25,10
11,01/02/2020,20.65,11
12,01/02/2020,15.45,12
13,01/02/2020,2.5,13
14,01/02/2020,14.249999999999998,14
15,01/02/2020,0.95,15
16,01/02/2020,1.25,16
17,01/02/2020,6.75,17
18,01/02/2020,11.15,18
19,01/02/2020,23.1,19
20,01/02/2020,14.75,20
21,01/02/2020,1.9,21
22,01/02/2020,3,22
23,01/02/2020,25,23
24,01/02/2020,19.799999999999997,24
25,01/02/2020,7.6,25
26,01/02/2020,2.25,26
27,01/02/2020,0.95,27
28,01/02/2020,12.25,28
29,01/02/2020,6.25,29
30,01/02/2020,9.5,30
31,01/02/2020,24.75,31
32,01/02/2020,13.7,32
33,01/02/2020,15.75,33
34,01/02/2020,8.65,34
35,01/03/2020,7.5,35
36,01/03/2020,6.25,36
37,01/03/2020,1.5,37
38,01/03/2020,31.049999999999997,38
39,01/03/2020,8.549999999999999,39
40,01/03/2020,15.5,40
41,01/03/2020,9,41
42,01/03/2020,7.25,42
43,01/03/2020,6.6499999999999995,43
44,01/03/2020,7.5,44
45,01/03/2020,24.5,45
46,01/03/2020,12.2,46
47,01/03/2020,7.6,47
48,01/03/2020,26.35,48
49,01/03/2020,2.8499999999999996,49
50,01/03/2020,9.45,50
51,01/03/2020,19.75,51
52,01/03/2020,0.95,52
53,01/03/2020,5.699999999999999,53
54,01/03/2020,3.5,54
55,01/03/2020,18.75,55
56,01/04/2020,3.75,56
57,01/05/2020,35.25,57
58,01/05/2020,1.9,58
59,01/05/2020,6.2,59
60,01/05/2020,13.5,60
61,01/06/2020,2.25,61
62,01/06/2020,19.5,62
63,01/06/2020,4.75,63
64,01/06/2020,17.3,64
65,01/07/2020,5.45,65
66,01/07/2020,22.549999999999997,66
67,01/07/2020,0.95,67
68,01/07/2020,14.799999999999999,68
69,01/07/2020,6.25,69
70,01/08/2020,15.75,70
71,01/08/2020,39.5,71
